Total/Rural/Urban,Area Name,Religious Community,Age-Group,Total Population,Population Males,Population Females,Total Main Workers,Main Workers Male,Main Workers Female,Total Marginal Workers,Marginal Workers Male,Marginal Workers Female,MW Available Total,MW Available Males,MW Available Females,Total Non Workers,Non Workers Male,Non Workers Female,NW Available Total,NW Available Males,NW Available Females
Rural,State - PUDUCHERRY,Hindu,30-34,32046,15859,16187,17337,13080,4257,3250,1844,1406,1411,869,542,11459,935,10524,2080,394,1686
Rural,State - PUDUCHERRY,Hindu,35-39,30920,15192,15728,17744,12823,4921,3531,1827,1704,1345,772,573,9645,542,9103,1222,163,1059
Rural,State - PUDUCHERRY,Hindu,40-49,46941,24022,22919,27184,20060,7124,5658,3042,2616,1664,999,665,14099,920,13179,1102,183,919
Rural,State - PUDUCHERRY,Hindu,50-59,30105,14882,15223,15168,11424,3744,3349,1919,1430,689,446,243,11588,1539,10049,437,117,320
Rural,State - PUDUCHERRY,Hindu,60-69,20483,9120,11363,5697,4265,1432,1746,1052,694,280,178,102,13040,3803,9237,238,85,153
Rural,State - PUDUCHERRY,Hindu,70-79,9915,4415,5500,1545,1218,327,430,272,158,53,32,21,7940,2925,5015,85,37,48
Rural,State - PUDUCHERRY,Hindu,80+,3718,1640,2078,376,274,102,101,67,34,12,8,4,3241,1299,1942,22,13,9
Rural,State - PUDUCHERRY,Hindu,Age not stated,456,230,226,83,67,16,30,20,10,12,8,4,343,143,200,18,10,8
Rural,State - PUDUCHERRY,Hindu,15-59,242500,119872,122628,106972,79209,27763,22074,12477,9597,8447,5224,3223,113454,28186,85268,20002,7523,12479
Rural,State - PUDUCHERRY,Hindu,60+,34116,15175,18941,7618,5757,1861,2277,1391,886,345,218,127,24221,8027,16194,345,135,210
Rural,State - PUDUCHERRY,Muslim,Total,13132,6362,6770,3343,3055,288,399,292,107,173,145,28,9390,3015,6375,611,307,304
Rural,State - PUDUCHERRY,Muslim,5-9,1166,591,575,9,2,7,4,1,3,1,0,1,1153,588,565,16,12,4
Rural,State - PUDUCHERRY,Muslim,10-14,1158,594,564,13,7,6,4,2,2,1,1,0,1141,585,556,22,14,8
Rural,State - PUDUCHERRY,Muslim,15-19,1064,547,517,72,64,8,17,12,5,10,7,3,975,471,504,142,92,50
Rural,State - PUDUCHERRY,Muslim,20-24,1262,564,698,305,269,36,50,39,11,33,29,4,907,256,651,184,102,82
Rural,State - PUDUCHERRY,Muslim,25-29,1156,486,670,422,372,50,47,32,15,23,19,4,687,82,605,85,39,46
Rural,State - PUDUCHERRY,Muslim,30-34,1119,524,595,488,456,32,45,31,14,23,18,5,586,37,549,55,14,41
Rural,State - PUDUCHERRY,Muslim,35-39,1110,541,569,501,454,47,63,49,14,27,25,2,546,38,508,45,13,32
Rural,State - PUDUCHERRY,Muslim,40-49,1675,871,804,830,780,50,73,54,19,22,19,3,772,37,735,32,7,25
Rural,State - PUDUCHERRY,Muslim,50-59,1064,544,520,457,426,31,61,49,12,23,19,4,546,69,477,21,9,12
Rural,State - PUDUCHERRY,Muslim,60-69,734,336,398,186,171,15,23,15,8,7,6,1,525,150,375,8,4,4
Rural,State - PUDUCHERRY,Muslim,70-79,346,154,192,48,42,6,10,7,3,3,2,1,288,105,183,0,0,0
Rural,State - PUDUCHERRY,Muslim,80+,129,60,69,11,11,0,2,1,1,0,0,0,116,48,68,1,1,0
Rural,State - PUDUCHERRY,Muslim,Age not stated,13,8,5,1,1,0,0,0,0,0,0,0,12,7,5,0,0,0
Rural,State - PUDUCHERRY,Muslim,15-59,8450,4077,4373,3075,2821,254,356,266,90,161,136,25,5019,990,4029,564,276,288
Rural,State - PUDUCHERRY,Muslim,60+,1209,550,659,245,224,21,35,23,12,10,8,2,929,303,626,9,5,4
Rural,State - PUDUCHERRY,Christian,Total,11065,5337,5728,3554,2565,989,638,315,323,233,116,117,6873,2457,4416,631,196,435
Rural,State - PUDUCHERRY,Christian,5-9,913,457,456,7,2,5,0,0,0,0,0,0,906,455,451,1,0,1
Rural,State - PUDUCHERRY,Christian,10-14,946,492,454,8,5,3,4,0,4,3,0,3,934,487,447,8,2,6
Rural,State - PUDUCHERRY,Christian,15-19,937,451,486,73,59,14,17,12,5,11,9,2,847,380,467,113,51,62
Rural,State - PUDUCHERRY,Christian,20-24,1003,459,544,320,226,94,61,38,23,35,19,16,622,195,427,172,74,98
Rural,State - PUDUCHERRY,Christian,25-29,1101,502,599,496,381,115,99,47,52,56,29,27,506,74,432,144,41,103
Rural,State - PUDUCHERRY,Christian,30-34,917,469,448,519,401,118,77,39,38,26,13,13,321,29,292,80,16,64
Rural,State - PUDUCHERRY,Christian,35-39,882,436,446,506,367,139,82,48,34,34,19,15,294,21,273,49,5,44
Rural,State - PUDUCHERRY,Christian,40-49,1389,664,725,856,596,260,123,44,79,39,13,26,410,24,386,36,4,32
Rural,State - PUDUCHERRY,Christian,50-59,976,457,519,531,359,172,112,50,62,21,7,14,333,48,285,14,2,12
Rural,State - PUDUCHERRY,Christian,60-69,656,313,343,176,125,51,44,29,15,7,6,1,436,159,277,7,1,6
Rural,State - PUDUCHERRY,Christian,70-79,319,136,183,56,39,17,13,5,8,0,0,0,250,92,158,4,0,4
Rural,State - PUDUCHERRY,Christian,80+,105,44,61,4,3,1,6,3,3,1,1,0,95,38,57,1,0,1
Rural,State - PUDUCHERRY,Christian,Age not stated,16,11,5,2,2,0,0,0,0,0,0,0,14,9,5,2,0,2
Rural,State - PUDUCHERRY,Christian,15-59,7205,3438,3767,3301,2389,912,571,278,293,222,109,113,3333,771,2562,608,193,415
Rural,State - PUDUCHERRY,Christian,60+,1080,493,587,236,167,69,63,37,26,8,7,1,781,289,492,12,1,11
Rural,State - PUDUCHERRY,Sikh,Total,97,50,47,35,27,8,8,3,5,0,0,0,54,20,34,4,4,0
Rural,State - PUDUCHERRY,Sikh,5-9,5,4,1,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0
Rural,State - PUDUCHERRY,Sikh,10-14,8,1,7,0,0,0,0,0,0,0,0,0,8,1,7,0,0,0
Rural,State - PUDUCHERRY,Sikh,15-19,10,4,6,1,0,1,0,0,0,0,0,0,9,4,5,1,1,0
Rural,State - PUDUCHERRY,Sikh,20-24,9,7,2,3,3,0,0,0,0,0,0,0,6,4,2,2,2,0
Rural,State - PUDUCHERRY,Sikh,25-29,9,3,6,3,2,1,2,0,2,0,0,0,4,1,3,1,1,0
Rural,State - PUDUCHERRY,Sikh,30-34,7,5,2,4,3,1,2,2,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Sikh,35-39,9,5,4,5,5,0,0,0,0,0,0,0,4,0,4,0,0,0
Rural,State - PUDUCHERRY,Sikh,40-49,15,11,4,11,9,2,1,1,0,0,0,0,3,1,2,0,0,0
Rural,State - PUDUCHERRY,Sikh,50-59,10,4,6,7,4,3,1,0,1,0,0,0,2,0,2,0,0,0
Rural,State - PUDUCHERRY,Sikh,60-69,7,2,5,1,1,0,2,0,2,0,0,0,4,1,3,0,0,0
Rural,State - PUDUCHERRY,Sikh,70-79,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - PUDUCHERRY,Sikh,80+,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Sikh,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Sikh,15-59,69,39,30,34,26,8,6,3,3,0,0,0,29,10,19,4,4,0
Rural,State - PUDUCHERRY,Sikh,60+,9,3,6,1,1,0,2,0,2,0,0,0,6,2,4,0,0,0
Rural,State - PUDUCHERRY,Buddhist,Total,56,44,12,32,29,3,0,0,0,0,0,0,24,15,9,0,0,0
Rural,State - PUDUCHERRY,Buddhist,5-9,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0
Rural,State - PUDUCHERRY,Buddhist,10-14,6,4,2,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0
Rural,State - PUDUCHERRY,Buddhist,15-19,4,3,1,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0
Rural,State - PUDUCHERRY,Buddhist,20-24,6,5,1,5,5,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Buddhist,25-29,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Buddhist,30-34,3,1,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Buddhist,35-39,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Buddhist,40-49,9,7,2,8,7,1,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Buddhist,50-59,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Buddhist,60-69,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Buddhist,70-79,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Buddhist,80+,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - PUDUCHERRY,Buddhist,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Buddhist,15-59,37,31,6,31,29,2,0,0,0,0,0,0,6,2,4,0,0,0
Rural,State - PUDUCHERRY,Buddhist,60+,4,1,3,1,0,1,0,0,0,0,0,0,3,1,2,0,0,0
Rural,State - PUDUCHERRY,Jain,Total,45,18,27,9,8,1,2,1,1,1,0,1,34,9,25,2,1,1
Rural,State - PUDUCHERRY,Jain,5-9,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
Rural,State - PUDUCHERRY,Jain,10-14,10,4,6,0,0,0,1,0,1,1,0,1,9,4,5,0,0,0
Rural,State - PUDUCHERRY,Jain,15-19,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0
Rural,State - PUDUCHERRY,Jain,20-24,4,2,2,1,1,0,0,0,0,0,0,0,3,1,2,1,0,1
Rural,State - PUDUCHERRY,Jain,25-29,6,2,4,3,2,1,0,0,0,0,0,0,3,0,3,0,0,0
Rural,State - PUDUCHERRY,Jain,30-34,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Jain,35-39,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Jain,40-49,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Jain,50-59,3,2,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Jain,60-69,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Rural,State - PUDUCHERRY,Jain,70-79,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Rural,State - PUDUCHERRY,Jain,80+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Jain,Age not stated,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Jain,15-59,21,11,10,9,8,1,1,1,0,0,0,0,11,2,9,2,1,1
Rural,State - PUDUCHERRY,Jain,60+,4,1,3,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,Total,39,22,17,10,7,3,1,1,0,0,0,0,28,14,14,1,0,1
Rural,State - PUDUCHERRY,Other religious communities,5-9,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,10-14,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,15-19,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,20-24,5,1,4,1,0,1,1,1,0,0,0,0,3,0,3,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,25-29,5,3,2,3,3,0,0,0,0,0,0,0,2,0,2,1,0,1
Rural,State - PUDUCHERRY,Other religious communities,30-34,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,35-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,40-49,5,3,2,4,3,1,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,60-69,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,70-79,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,80+,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rural,State - PUDUCHERRY,Other religious communities,15-59,19,9,10,10,7,3,1,1,0,0,0,0,8,1,7,1,0,1
Rural,State - PUDUCHERRY,Other religious communities,60+,5,1,4,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0
Urban,State - PUDUCHERRY,All religious communities,Total,852753,417604,435149,277501,215341,62160,19591,11885,7706,7494,4696,2798,555661,190378,365283,46562,16685,29877
Urban,State - PUDUCHERRY,All religious communities,5-9,65749,33517,32232,284,145,139,213,122,91,49,26,23,65252,33250,32002,495,253,242
Urban,State - PUDUCHERRY,All religious communities,10-14,70375,35964,34411,603,407,196,286,155,131,73,43,30,69486,35402,34084,907,499,408
Urban,State - PUDUCHERRY,All religious communities,15-19,68297,34837,33460,4996,3577,1419,972,631,341,521,334,187,62329,30629,31700,6829,3635,3194
Urban,State - PUDUCHERRY,All religious communities,20-24,72547,34132,38415,21227,15200,6027,2437,1482,955,1453,913,540,48883,17450,31433,14072,6517,7555
Urban,State - PUDUCHERRY,All religious communities,25-29,79404,36610,42794,38056,29203,8853,2782,1710,1072,1489,936,553,38566,5697,32869,10020,2985,7035
Urban,State - PUDUCHERRY,All religious communities,30-34,76956,36893,40063,42209,32971,9238,2674,1657,1017,1133,721,412,32073,2265,29808,5834,1090,4744
Urban,State - PUDUCHERRY,All religious communities,35-39,74513,36465,38048,43633,33627,10006,2554,1415,1139,983,582,401,28326,1423,26903,3769,517,3252
Urban,State - PUDUCHERRY,All religious communities,40-49,119039,60527,58512,70980,55780,15200,3863,2289,1574,1186,745,441,44196,2458,41738,3007,538,2469
Urban,State - PUDUCHERRY,All religious communities,50-59,78859,39577,39282,41469,33350,8119,2245,1401,844,427,278,149,35145,4826,30319,980,321,659
Urban,State - PUDUCHERRY,All religious communities,60-69,49917,22876,27041,10759,8572,2187,1144,737,407,151,97,54,38014,13567,24447,478,249,229
Urban,State - PUDUCHERRY,All religious communities,70-79,24713,10646,14067,2564,1969,595,338,233,105,19,15,4,21811,8444,13367,112,55,57
Urban,State - PUDUCHERRY,All religious communities,80+,9358,3665,5693,574,426,148,65,43,22,7,6,1,8719,3196,5523,38,15,23
Urban,State - PUDUCHERRY,All religious communities,Age not stated,603,302,301,147,114,33,18,10,8,3,0,3,438,178,260,21,11,10
Urban,State - PUDUCHERRY,All religious communities,15-59,569615,279041,290574,262570,203708,58862,17527,10585,6942,7192,4509,2683,289518,64748,224770,44511,15603,28908
Urban,State - PUDUCHERRY,All religious communities,60+,83988,37187,46801,13897,10967,2930,1547,1013,534,177,118,59,68544,25207,43337,628,319,309
Urban,State - PUDUCHERRY,Hindu,Total,718900,353757,365143,237616,184622,52994,16174,9787,6387,6099,3717,2382,465110,159348,305762,39138,13713,25425
Urban,State - PUDUCHERRY,Hindu,5-9,55309,28147,27162,224,113,111,182,100,82,44,21,23,54903,27934,26969,404,209,195
Urban,State - PUDUCHERRY,Hindu,10-14,59304,30277,29027,505,345,160,225,121,104,58,35,23,58574,29811,28763,727,401,326
Urban,State - PUDUCHERRY,Hindu,15-19,57317,29261,28056,4253,3038,1215,791,514,277,424,271,153,52273,25709,26564,5634,2956,2678
Urban,State - PUDUCHERRY,Hindu,20-24,61139,28910,32229,18119,12949,5170,2007,1222,785,1218,746,472,41013,14739,26274,11847,5449,6398
Urban,State - PUDUCHERRY,Hindu,25-29,67355,31132,36223,32563,24949,7614,2336,1430,906,1249,764,485,32456,4753,27703,8530,2496,6034
Urban,State - PUDUCHERRY,Hindu,30-34,65208,31488,33720,36203,28289,7914,2200,1360,840,889,547,342,26805,1839,24966,4966,880,4086
Urban,State - PUDUCHERRY,Hindu,35-39,63454,31201,32253,37517,28898,8619,2115,1167,948,789,455,334,23822,1136,22686,3160,404,2756
Urban,State - PUDUCHERRY,Hindu,40-49,100991,51760,49231,60875,47971,12904,3154,1859,1295,937,562,375,36962,1930,35032,2540,419,2121
Urban,State - PUDUCHERRY,Hindu,50-59,66314,33654,32660,35402,28626,6776,1847,1152,695,354,225,129,29065,3876,25189,800,231,569
Urban,State - PUDUCHERRY,Hindu,60-69,41693,19309,22384,9132,7290,1842,962,618,344,115,75,40,31599,11401,20198,391,201,190
Urban,State - PUDUCHERRY,Hindu,70-79,20649,8997,11652,2205,1690,515,289,201,88,16,12,4,18155,7106,11049,90,44,46
Urban,State - PUDUCHERRY,Hindu,80+,7806,3137,4669,494,368,126,51,35,16,4,4,0,7261,2734,4527,31,14,17
Urban,State - PUDUCHERRY,Hindu,Age not stated,444,213,231,124,96,28,15,8,7,2,0,2,305,109,196,18,9,9
Urban,State - PUDUCHERRY,Hindu,15-59,481778,237406,244372,224932,174720,50212,14450,8704,5746,5860,3570,2290,242396,53982,188414,37477,12835,24642
Urban,State - PUDUCHERRY,Hindu,60+,70148,31443,38705,11831,9348,2483,1302,854,448,135,91,44,57015,21241,35774,512,259,253
Urban,State - PUDUCHERRY,Muslim,Total,62424,30088,32336,15576,13911,1665,1653,1107,546,758,604,154,45195,15070,30125,3666,1576,2090
Urban,State - PUDUCHERRY,Muslim,5-9,5416,2801,2615,30,16,14,15,11,4,5,5,0,5371,2774,2597,58,27,31
Urban,State - PUDUCHERRY,Muslim,10-14,5468,2818,2650,44,27,17,31,18,13,6,3,3,5393,2773,2620,120,60,60
Urban,State - PUDUCHERRY,Muslim,15-19,5376,2735,2641,348,282,66,107,69,38,64,42,22,4921,2384,2537,692,392,300
Urban,State - PUDUCHERRY,Muslim,20-24,5704,2590,3114,1314,1131,183,215,140,75,130,99,31,4175,1319,2856,1145,569,576
Urban,State - PUDUCHERRY,Muslim,25-29,5634,2519,3115,2180,1930,250,233,157,76,129,113,16,3221,432,2789,658,241,417
Urban,State - PUDUCHERRY,Muslim,30-34,5468,2492,2976,2418,2163,255,216,151,65,122,101,21,2834,178,2656,372,88,284
Urban,State - PUDUCHERRY,Muslim,35-39,5018,2405,2613,2406,2145,261,208,133,75,104,79,25,2404,127,2277,276,55,221
Urban,State - PUDUCHERRY,Muslim,40-49,7813,3814,3999,3682,3360,322,329,218,111,140,117,23,3802,236,3566,213,61,152
Urban,State - PUDUCHERRY,Muslim,50-59,5147,2517,2630,2189,1992,197,178,124,54,38,31,7,2780,401,2379,83,52,31
Urban,State - PUDUCHERRY,Muslim,60-69,3467,1585,1882,770,697,73,95,70,25,18,13,5,2602,818,1784,40,26,14
Urban,State - PUDUCHERRY,Muslim,70-79,1533,645,888,141,122,19,19,14,5,1,1,0,1373,509,864,7,4,3
Urban,State - PUDUCHERRY,Muslim,80+,567,205,362,37,32,5,6,2,4,0,0,0,524,171,353,1,0,1
Urban,State - PUDUCHERRY,Muslim,Age not stated,84,48,36,17,14,3,1,0,1,1,0,1,66,34,32,1,1,0
Urban,State - PUDUCHERRY,Muslim,15-59,40160,19072,21088,14537,13003,1534,1486,992,494,727,582,145,24137,5077,19060,3439,1458,1981
Urban,State - PUDUCHERRY,Muslim,60+,5567,2435,3132,948,851,97,120,86,34,19,14,5,4499,1498,3001,48,30,18
Urban,State - PUDUCHERRY,Christian,Total,67485,31820,35665,23147,15887,7260,1694,955,739,615,360,255,42644,14978,27666,3561,1316,2245
Urban,State - PUDUCHERRY,Christian,5-9,4708,2394,2314,29,15,14,16,11,5,0,0,0,4663,2368,2295,32,17,15
Urban,State - PUDUCHERRY,Christian,10-14,5252,2689,2563,52,35,17,30,16,14,9,5,4,5170,2638,2532,51,32,19
Urban,State - PUDUCHERRY,Christian,15-19,5299,2674,2625,370,241,129,72,46,26,33,21,12,4857,2387,2470,479,277,202
Urban,State - PUDUCHERRY,Christian,20-24,5385,2477,2908,1717,1063,654,203,113,90,100,64,36,3465,1301,2164,1015,464,551
Urban,State - PUDUCHERRY,Christian,25-29,6066,2800,3266,3158,2201,957,205,121,84,107,57,50,2703,478,2225,788,232,556
Urban,State - PUDUCHERRY,Christian,30-34,5913,2743,3170,3399,2369,1030,248,141,107,119,72,47,2266,233,2033,469,117,352
Urban,State - PUDUCHERRY,Christian,35-39,5736,2696,3040,3533,2439,1094,220,107,113,83,42,41,1983,150,1833,318,55,263
Urban,State - PUDUCHERRY,Christian,40-49,9771,4708,5063,6138,4221,1917,368,208,160,107,65,42,3265,279,2986,248,55,193
Urban,State - PUDUCHERRY,Christian,50-59,7083,3261,3822,3724,2604,1120,214,122,92,35,22,13,3145,535,2610,94,37,57
Urban,State - PUDUCHERRY,Christian,60-69,4501,1879,2622,796,538,258,83,46,37,17,8,9,3622,1295,2327,47,22,25
Urban,State - PUDUCHERRY,Christian,70-79,2402,951,1451,194,140,54,27,17,10,2,2,0,2181,794,1387,14,7,7
Urban,State - PUDUCHERRY,Christian,80+,929,296,633,35,20,15,7,6,1,3,2,1,887,270,617,5,1,4
Urban,State - PUDUCHERRY,Christian,Age not stated,42,22,20,2,1,1,1,1,0,0,0,0,39,20,19,1,0,1
Urban,State - PUDUCHERRY,Christian,15-59,45253,21359,23894,22039,15138,6901,1530,858,672,584,343,241,21684,5363,16321,3411,1237,2174
Urban,State - PUDUCHERRY,Christian,60+,7832,3126,4706,1025,698,327,117,69,48,22,12,10,6690,2359,4331,66,30,36
Urban,State - PUDUCHERRY,Sikh,Total,200,106,94,77,63,14,5,4,1,2,2,0,118,39,79,8,3,5
Urban,State - PUDUCHERRY,Sikh,5-9,19,9,10,0,0,0,0,0,0,0,0,0,19,9,10,0,0,0
Urban,State - PUDUCHERRY,Sikh,10-14,14,3,11,0,0,0,0,0,0,0,0,0,14,3,11,0,0,0
Urban,State - PUDUCHERRY,Sikh,15-19,18,11,7,4,2,2,0,0,0,0,0,0,14,9,5,0,0,0
Urban,State - PUDUCHERRY,Sikh,20-24,13,9,4,6,5,1,1,1,0,0,0,0,6,3,3,3,2,1
Urban,State - PUDUCHERRY,Sikh,25-29,19,11,8,10,8,2,0,0,0,0,0,0,9,3,6,3,1,2
Urban,State - PUDUCHERRY,Sikh,30-34,18,10,8,13,9,4,0,0,0,0,0,0,5,1,4,1,0,1
Urban,State - PUDUCHERRY,Sikh,35-39,17,5,12,4,3,1,2,1,1,1,1,0,11,1,10,1,0,1
Urban,State - PUDUCHERRY,Sikh,40-49,28,21,7,22,20,2,0,0,0,0,0,0,6,1,5,0,0,0
Urban,State - PUDUCHERRY,Sikh,50-59,15,11,4,10,10,0,0,0,0,0,0,0,5,1,4,0,0,0
Urban,State - PUDUCHERRY,Sikh,60-69,16,8,8,8,6,2,2,2,0,1,1,0,6,0,6,0,0,0
Urban,State - PUDUCHERRY,Sikh,70-79,4,2,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0
Urban,State - PUDUCHERRY,Sikh,80+,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
Urban,State - PUDUCHERRY,Sikh,Age not stated,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Urban,State - PUDUCHERRY,Sikh,15-59,128,78,50,69,57,12,3,2,1,1,1,0,56,19,37,8,3,5
Urban,State - PUDUCHERRY,Sikh,60+,22,11,11,8,6,2,2,2,0,1,1,0,12,3,9,0,0,0
Urban,State - PUDUCHERRY,Buddhist,Total,395,206,189,107,84,23,7,3,4,3,2,1,281,119,162,24,6,18
Urban,State - PUDUCHERRY,Buddhist,5-9,25,18,7,0,0,0,0,0,0,0,0,0,25,18,7,0,0,0
Urban,State - PUDUCHERRY,Buddhist,10-14,43,22,21,0,0,0,0,0,0,0,0,0,43,22,21,0,0,0
Urban,State - PUDUCHERRY,Buddhist,15-19,39,23,16,2,2,0,0,0,0,0,0,0,37,21,16,4,2,2
Urban,State - PUDUCHERRY,Buddhist,20-24,42,24,18,8,7,1,4,2,2,1,1,0,30,15,15,9,3,6
Urban,State - PUDUCHERRY,Buddhist,25-29,42,20,22,22,18,4,0,0,0,0,0,0,20,2,18,4,1,3
Urban,State - PUDUCHERRY,Buddhist,30-34,32,16,16,20,15,5,0,0,0,0,0,0,12,1,11,4,0,4
Urban,State - PUDUCHERRY,Buddhist,35-39,24,13,11,13,13,0,0,0,0,0,0,0,11,0,11,2,0,2
Urban,State - PUDUCHERRY,Buddhist,40-49,38,17,21,23,16,7,3,1,2,2,1,1,12,0,12,1,0,1
Urban,State - PUDUCHERRY,Buddhist,50-59,23,12,11,15,11,4,0,0,0,0,0,0,8,1,7,0,0,0
Urban,State - PUDUCHERRY,Buddhist,60-69,22,9,13,4,2,2,0,0,0,0,0,0,18,7,11,0,0,0
Urban,State - PUDUCHERRY,Buddhist,70-79,14,8,6,0,0,0,0,0,0,0,0,0,14,8,6,0,0,0
Urban,State - PUDUCHERRY,Buddhist,80+,5,1,4,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0
Urban,State - PUDUCHERRY,Buddhist,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,State - PUDUCHERRY,Buddhist,15-59,240,125,115,103,82,21,7,3,4,3,2,1,130,40,90,24,6,18
Urban,State - PUDUCHERRY,Buddhist,60+,41,18,23,4,2,2,0,0,0,0,0,0,37,16,21,0,0,0
Urban,State - PUDUCHERRY,Jain,Total,1355,684,671,414,363,51,8,4,4,3,1,2,933,317,616,58,22,36
Urban,State - PUDUCHERRY,Jain,5-9,108,60,48,0,0,0,0,0,0,0,0,0,108,60,48,1,0,1
Urban,State - PUDUCHERRY,Jain,10-14,127,70,57,1,0,1,0,0,0,0,0,0,126,70,56,5,2,3
Urban,State - PUDUCHERRY,Jain,15-19,94,50,44,2,2,0,0,0,0,0,0,0,92,48,44,10,5,5
Urban,State - PUDUCHERRY,Jain,20-24,108,54,54,21,16,5,2,1,1,2,1,1,85,37,48,24,13,11
Urban,State - PUDUCHERRY,Jain,25-29,108,46,62,46,40,6,1,0,1,1,0,1,61,6,55,9,1,8
Urban,State - PUDUCHERRY,Jain,30-34,132,57,75,65,55,10,1,0,1,0,0,0,66,2,64,5,1,4
Urban,State - PUDUCHERRY,Jain,35-39,128,68,60,75,66,9,0,0,0,0,0,0,53,2,51,4,0,4
Urban,State - PUDUCHERRY,Jain,40-49,180,100,80,111,99,12,0,0,0,0,0,0,69,1,68,0,0,0
Urban,State - PUDUCHERRY,Jain,50-59,119,59,60,57,52,5,1,1,0,0,0,0,61,6,55,0,0,0
Urban,State - PUDUCHERRY,Jain,60-69,87,39,48,22,21,1,1,1,0,0,0,0,64,17,47,0,0,0
Urban,State - PUDUCHERRY,Jain,70-79,36,19,17,11,10,1,2,1,1,0,0,0,23,8,15,0,0,0
